"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"mass";"chi.distance";"inertie"
"compute";-0,976577483886484;0,572139351328752;0,0735921690005288;0,422661740349489;-0,178845187275907;-0,728206521895293;0,793148831348801;-0,198714489204521;0,274832519079034;0,291627515025663;0,526895097409562;0,575666566668492;-0,524591606115194;0,307338133622322;0,0395317675970253;0,227042712812693;-0,0960709063920486;-0,391173291631015;0,426058583359701;-0,106744170094216;0,147632763375398;0,156654591180886;0,283034116560107;0,309232860452214;0,396085370015405;0,117469581722076;0,00163000015592025;0,0507250154865017;0,00843536852886611;0,13037793083555;0,144804440881338;0,00905286800216336;0,0162823779125936;0,017104272877348;0,053133613800962;0,0548991597812749;0,00824743663708696;0,00283080016566646;4,68348118869703e-05;0,00154486825024202;0,000276605040195988;0,00458579569484216;0,00544020106554218;0,000341479505045559;0,000653193434730033;0,000735465945534966;0,00240078842800043;0,00286581128598961;0,00864779874213836;0,702521183329415;0,00426800011265108
"question";-1,33372647767643;-0,612946753533086;2,26705556413271;-0,372157417010102;0,0901945560151981;-0,315009689055564;0,201756179022043;-0,499132090354757;0,0951516206798179;-0,0672596978429541;-0,427358785809983;0,0446466174721959;-0,470720968790137;-0,216331380136147;0,800127019528604;-0,131347995866909;0,0318329653776062;-0,111178467618673;0,0712071520197363;-0,176162013020363;0,0335824952252481;-0,0237384131297485;-0,150830582615349;0,0157574280645071;0,285134871179144;0,0520365723666985;0,597021771148321;0,0151785774793334;0,000828040531550876;0,0094163844122836;0,00361632615436267;0,0220444619679043;0,000753278154585706;0,000351154991330564;0,013491110920251;0,000127450694234184;0,0187791637266381;0,00396632411620333;0,0542584060536072;0,00146216390895657;8,58822378559298e-05;0,00104758802725685;0,000429730710098387;0,00263010863661944;9,55817729438027e-05;4,77587032422502e-05;0,00192809299079564;2,10435896743719e-05;0,0105570530098832;1,13080761459162;0,0134995767019911
"field";-0,435744758380741;0,4363395315832;-0,385073407597088;0,689064178453755;0,53666422155717;0,0723535976686209;0,0675513268023305;-0,434618549214339;-0,696968330952518;-0,74970144424525;-0,187595445628929;1,24861512303291;-0,214361342959294;0,214653937144269;-0,189433954632446;0,338979918490325;0,264007910683071;0,0355938059285386;0,0332313650446191;-0,213807312865484;-0,342868306616636;-0,368809963438535;-0,0922861626781231;0,614246779713988;0,0847022651638025;0,0733881939082973;0,0479365516645014;0,144814135139542;0,0815849636754376;0,00138251709742965;0,00112822459946879;0,0465156322094891;0,11247680647212;0,121417031552746;0,00723470645345923;0,277418972063707;0,00206847809549194;0,00207412871987398;0,0016153760485319;0,00517256467618266;0,00313755876121492;5,70304560054457e-05;4,9711211816853e-05;0,00205779969476125;0,00529191272147593;0,0061229861617061;0,000383381510378426;0,0169841479526337;0,0108939802336029;0,677847154493873;0,00500553079413497
"traditional";-0,193339162707945;-0,110354117602067;-0,605492002046548;-0,713691851032878;0,769507318607236;-0,379077897524105;-0,230347162258548;-0,244979882956199;-0,319543310650364;0,286547888370319;-0,169070253089687;0,262098957790998;-0,134838408513638;-0,0769630600545581;-0,42228163596127;-0,497742268118716;0,536669036564175;-0,264376134089599;-0,160648491125896;-0,170853628788958;-0,222855581123832;0,199843946201231;-0,117912809460381;0,182792797106539;0,0283443474089465;0,00797903328279158;0,201461781140312;0,264064000371;0,28511919925266;0,0645064720269653;0,0222992185684706;0,0251211416365728;0,0401876361895815;0,0301504261416436;0,00998865131418409;0,0207780926668722;0,000335849342646982;0,00010941627378015;0,00329398530586107;0,00457642460225279;0,00532022923081849;0,00129110559201524;0,000476727899016762;0,000539219614135066;0,000917411746463567;0,000737733084721375;0,000256826149863529;0,000617213510108963;0,00898472596585804;0,519916643527925;0,00242869107113516
"discipline";-0,285109130850507;-0,0255773709700805;-0,684057449304604;0,199412823761761;0,960766412624718;0,324641801056343;0,135900459593349;-0,166578679296174;0,123276758471576;0,310210017713206;-0,889346339932785;-0,328245826462486;-0,174339289200114;-0,015640118789705;-0,418289267439628;0,121937483546403;0,587491999869211;0,198512831462013;0,0831007742782403;-0,101859973609951;0,0753815999603948;0,189688046221263;-0,543819863973077;-0,200716630497462;0,0513112278671878;0,000356819315864573;0,214054499042347;0,0171615791816998;0,369998477737393;0,0393838892483648;0,00646143711637678;0,00966898118376422;0,00497919085325357;0,0294153504301848;0,230079354965603;0,0271291930579603;0,000712084780610722;5,73087922819037e-06;0,00409915749416346;0,000348349842081071;0,00808621111533761;0,000923247902230714;0,000161789861138736;0,000243079469776785;0,000133128752918041;0,000842987409814797;0,0069286926284191;0,000943860642635123;0,00876010781671159;0,569838831087221;0,00284454974015705
"define";0,328203915628926;-0,373699032881984;0,587408352341834;1,04708870359842;0,314556913501215;0,292277260864732;-0,112484404298092;0,805325907733867;0,821546226147186;-0,310740491510149;-0,0484163527996908;-0,00381067838920929;0,180445078645314;-0,205458095308977;0,322954545292739;0,575684793727622;0,172942016509419;0,160692760846285;-0,0618434339549103;0,442764665003098;0,451682525188083;-0,170843764375523;-0,026619099202147;-0,00209509432669384;0,0511813840691869;0,0573343448145293;0,118810219107054;0,356165939633176;0,0298536294091726;0,0240289135770325;0,00333200965714381;0,170105980480873;0,166454187680564;0,0222173594331591;0,000513279954531743;2,75218357935215e-06;0,000979912694178673;0,00127040974183865;0,00313891895378221;0,00997394148803646;0,00090011570062267;0,000777123290061301;0,000115102430147577;0,00589988041678544;0,0061399364709604;0,000878406547414811;2,13247529977936e-05;1,32100500074677e-07;0,00909703504043127;0,656802599583414;0,00392436680597281
"computer";0,686246120443797;0,57569183546887;0,079749610986191;0,155833082112819;-0,270433756681194;-0,0805450437898005;-0,384528956267344;0,337233914697131;0,435218949487794;0,156052371618074;-0,0983583418115297;0,0164837632612246;0,580414347982462;0,486909566944295;0,0674507543044042;0,131800754939229;-0,228727897878759;-0,068123516740966;-0,325227519374466;0,285226243013113;0,368100183405348;0,131986225969841;-0,0831896766050289;0,0139416638149789;0,432763638043275;0,263158556394647;0,00423542657295582;0,015257072361834;0,0426763156461574;0,00352929670545282;0,075308877251395;0,0576906161682659;0,0903467962688645;0,0108368718968035;0,00409693437537264;9,9598314975981e-05;0,0038080895241846;0,00267995490101496;5,1428575087187e-05;0,000196366168308198;0,000591383423876307;5,24596017177968e-05;0,00119565378604895;0,000919623017967265;0,00153166199994549;0,000196919213107484;7,82293536704613e-05;2,19715189691723e-06;0,00808625336927224;0,472282266453254;0,0018036431741743
"medium";-0,361471079149611;0,517254281150032;0,562809637496068;0,0127768537831993;0,0116938399714149;-0,0447099180469388;0,0846974963541784;0,125557679631934;-0,415644256092012;0,295737940127927;1,13857454793529;-0,180536337574161;-0,23683950549816;0,338910234402667;0,368758564441049;0,00837152377156775;0,00766192217291667;-0,02929439031751;0,0554946558951489;0,0822666610714262;-0,272334318716653;0,193770488255168;0,746005554691072;-0,118289233584343;0,0969383749419797;0,171515434430439;0,170302383773527;8,28051598912442e-05;6,44224258237388e-05;0,000877962445628848;0,00294976138148708;0,00645634779162251;0,0665270698971677;0,0314220811157642;0,443217824886794;0,00964553174987493;0,00104188625509574;0,00213344467510451;0,00252578423766289;1,30173039919194e-06;1,09040413552014e-06;1,59397294244433e-05;5,72024121850057e-05;0,000125707086133585;0,00137757979348406;0,000697408577651481;0,0103370386439387;0,000259897710255288;0,00797394429469901;0,525621118588258;0,00220302187575516
"scholarship";-0,717166042494453;-0,427642381484713;0,173882272275422;0,676165210420662;0,404488132454002;-0,270932177192057;-0,33570821678248;-0,80518740887133;-0,0424254687915161;-0,389244342517153;0,552325714720835;0,596394531483833;-0,414280992258851;-0,247033601196748;0,10044552589792;0,390596288315133;0,233658225488652;-0,156507760478417;-0,193926545482208;-0,465127765309841;-0,0245076652637693;-0,224852437084537;0,319058672031863;0,344515640229558;0,266310796658936;0,0818195738928199;0,0113451176537216;0,161851194562156;0,053794151827282;0,022500391800286;0,0323422624348402;0,185308362918949;0,000483736484184176;0,0379897285953697;0,0727923125423345;0,0734623706291203;0,00346581625678676;0,00123233157979729;0,000203740192800971;0,00308085843519689;0,00110249763676635;0,000494637767102617;0,00075943400818917;0,00436877872914371;1,21288436804576e-05;0,00102096467777366;0,0020556852772364;0,00239680887590176;0,00673854447439353;0,629176435726483;0,00266754034550863
"practice";-0,39786277615365;0,321917300833754;-0,556256082024767;0,545323271815172;0,82248776435121;0,00786356352606376;0,0125386971205955;-0,529939146041163;0,0141068197430651;-0,742960212636763;-0,513978304966446;1,26651058325836;-0,193067306270423;0,156213925601866;-0,269929407297923;0,264624140397767;0,399121271506801;0,00381588104909108;0,00608454125972113;-0,257158823458023;0,00684549008119368;-0,360529648706028;-0,249413649049157;0,614588248331735;0,0691520562326806;0,0391177180929231;0,097957361332514;0,08881932559409;0,187659921696315;1,59917815455859e-05;3,806627852249e-05;0,0677239398346131;4,51235147949349e-05;0,116772836375303;0,0531831073688295;0,27951455189787;0,0012800117680487;0,00083798448983361;0,00250205521932246;0,00240466957506634;0,00547023818739179;5,00018582170677e-07;1,27131206589242e-06;0,00227090699601216;1,60918353043124e-06;0,00446353000723394;0,002136175455333;0,0129707470957312;0,00808625336927224;0,684979978381826;0,00379405043760621
