"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"74";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"75";2;4;7;9;10;12;14;16;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;54;57;57
"76";2;4;7;9;10;12;14;16;18;20;23;25;25;25;25;25;25;25;25;25;25;25;47;47;47;47;47;47;47
"77";2;4;7;9;10;12;14;16;18;20;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22
"78";2;4;7;9;10;12;14;16;18;20;23;25;25;25;25;25;25;25;25;25;25;25;46;46;46;46;46;46;46
"79";2;4;7;9;10;12;14;16;18;20;23;24;24;29;30;30;30;30;30;30;30;30;30;30;30;53;53;53;53
"80";2;4;7;9;10;12;15;15;15;15;15;15;27;27;27;32;35;35;35;35;43;44;44;44;51;51;51;51;51
"81";2;4;7;9;10;12;15;15;15;15;15;15;27;27;27;32;34;34;34;34;34;34;34;34;34;34;34;34;34
"82";2;4;7;9;10;12;14;16;18;20;23;24;24;29;30;30;30;30;30;30;30;30;30;30;30;53;53;53;53
"83";2;4;7;9;10;12;15;15;15;15;15;15;27;27;27;32;35;35;35;35;43;44;44;44;51;51;51;51;51
"84";2;4;7;9;10;12;14;16;18;20;23;25;25;25;25;25;25;25;25;25;25;25;47;47;47;47;47;47;47
"85";2;4;7;9;10;12;15;15;15;15;15;15;26;26;26;26;26;36;39;41;41;41;41;41;41;41;41;41;41
"86";2;4;7;9;10;12;14;16;18;20;23;25;25;25;25;25;25;25;25;25;25;25;47;47;47;47;47;47;47
"87";2;4;7;9;10;12;14;16;18;20;23;24;24;29;31;31;31;31;31;31;31;31;31;48;48;48;48;48;59
"88";2;4;7;9;10;12;15;15;15;15;15;15;27;27;27;33;33;33;33;33;33;33;33;33;33;33;33;33;33
"89";2;4;7;9;10;12;14;16;18;20;23;24;24;29;31;31;31;31;31;31;31;31;31;49;49;49;49;49;49
"90";2;4;7;9;10;12;15;15;15;15;15;15;27;27;27;33;33;33;33;33;33;33;33;33;33;33;33;33;33
"91";2;4;7;9;10;12;15;15;15;15;15;15;26;26;26;26;26;36;39;40;40;40;40;40;40;40;40;40;40
"92";2;4;7;9;10;12;14;16;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;54;57;57
"93";2;4;7;9;10;12;14;16;18;20;23;24;24;29;30;30;30;30;30;30;30;30;30;30;30;53;53;53;53
"94";2;4;7;9;10;12;15;15;15;15;15;15;26;26;26;26;26;36;39;41;41;41;41;41;41;41;41;41;41
"95";2;4;7;9;10;12;14;16;18;20;23;24;24;29;30;30;30;30;30;30;30;30;30;30;30;53;53;53;53
"96";2;4;7;9;10;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"97";2;4;7;9;10;12;15;15;15;15;15;15;26;26;26;26;26;36;39;40;40;40;40;40;40;40;40;40;40
"98";2;4;7;9;10;12;14;16;18;20;23;24;24;29;31;31;31;31;31;31;31;31;31;48;48;48;48;48;59
"99";2;4;7;9;10;12;14;16;18;20;23;24;24;29;31;31;31;31;31;31;31;31;31;48;48;48;48;48;59
"100";2;4;7;9;10;12;15;15;15;15;15;15;26;26;26;26;26;36;39;41;41;41;41;41;41;41;41;41;41
"101";2;4;7;9;10;12;14;16;18;20;23;24;24;29;30;30;30;30;30;30;30;30;30;30;30;53;53;53;53
"102";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";2;4;7;9;10;12;14;16;18;20;23;24;24;29;30;30;30;30;30;30;30;30;30;30;30;53;53;53;53
"104";2;4;7;9;10;12;15;15;15;15;15;15;27;27;27;32;35;35;35;35;43;45;45;45;45;45;45;45;45
"105";2;4;7;9;10;12;15;15;15;15;15;15;27;27;27;32;35;35;35;35;43;44;44;44;50;50;50;50;50
"106";2;4;7;9;10;12;14;16;18;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21
"107";2;4;7;9;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11
"108";2;4;7;9;10;12;14;16;18;20;23;24;24;29;30;30;30;30;30;30;30;30;30;30;30;52;52;52;52
"109";2;4;7;9;10;12;14;16;18;20;23;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
"110";2;4;7;9;10;12;14;16;18;20;23;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
"111";2;4;7;9;10;12;14;16;18;20;23;25;25;25;25;25;25;25;25;25;25;25;46;46;46;46;46;46;46
"112";2;4;7;9;10;12;15;15;15;15;15;15;26;26;26;26;26;36;39;41;41;41;41;41;41;41;41;41;41
"113";2;4;7;9;10;12;14;16;18;20;23;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
"114";2;4;7;9;10;12;14;16;18;20;23;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
"115";2;4;7;9;10;12;14;16;18;20;23;25;25;25;25;25;25;25;25;25;25;25;47;47;47;47;47;47;47
"116";2;4;7;9;10;12;14;16;18;20;23;24;24;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
"117";2;4;7;9;10;12;14;16;18;20;23;24;24;29;31;31;31;31;31;31;31;31;31;49;49;49;49;49;49
"118";2;4;7;9;10;12;15;15;15;15;15;15;27;27;27;32;34;34;34;34;34;34;34;34;34;34;34;34;34
"119";2;4;7;9;10;12;15;15;15;15;15;15;27;27;27;32;35;35;35;35;43;44;44;44;51;51;51;51;51
"120";2;4;7;9;10;12;14;16;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;54;56;56
"121";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"122";2;4;7;9;10;12;14;16;18;20;23;24;24;29;31;31;31;31;31;31;31;31;31;48;48;48;48;48;59
"123";2;4;7;9;10;12;14;16;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;55;55;55
