"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"note";-0,893118427326474;1,35150109351898;-0,551327026900212;0,834289224076023;0,377210772052838;0,622789227947165;0,000242646681777564;0,00055563431528584;0,000304197931454066;0,65089221864596;0,000128876702583815
"natural";-0,893118427326474;1,35150109351898;-0,551327026900212;0,834289224076023;0,377210772052838;0,622789227947165;0,000242646681777564;0,00055563431528584;0,000304197931454066;0,65089221864596;0,000128876702583815
"matthew";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"materiality";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"manner";-0,893118427326474;1,35150109351898;-0,551327026900212;0,834289224076023;0,377210772052838;0,622789227947165;0,000242646681777564;0,00055563431528584;0,000304197931454066;0,65089221864596;0,000128876702583815
"local";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"linguistics";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"leverage";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"landscape";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"key";-0,893118427326474;1,35150109351898;-0,551327026900212;0,834289224076023;0,377210772052838;0,622789227947165;0,000242646681777564;0,00055563431528584;0,000304197931454066;0,65089221864596;0,000128876702583815
"journal";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"interpretive";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
"interdisciplinarity";-2,39256423628912;2,01108889482147;-0,765494474524017;0,643442467881316;0,662505286995088;0,337494713004915;0,00174133957354586;0,0012303220065527;0,000304197931454066;1,31571251360001;0,000526596862231893
"integral";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"inside";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"inquire";-0,893118427326474;1,35150109351898;-0,551327026900212;0,834289224076023;0,377210772052838;0,622789227947165;0,000242646681777564;0,00055563431528584;0,000304197931454066;0,65089221864596;0,000128876702583815
"hope";0,606327381636179;0,691913292216476;0,659060496307364;0,752089929600903;0,515749485144811;0,484250514855188;0,000111833165804639;0,000145632935696363;0,000304197931454066;0,377902576205429;4,34426152208579e-05
"historically";-0,824993739879471;-4,80350777303394;-0,16926981517669;-0,985569748759594;0,0393032382808187;0,960696761719181;0,000207041574986914;0,00701896783378549;0,000304197931454066;1,86263842838588;0,00105539096985394
"harness";0,64038972535968;-2,38559114105998;0,259261908897325;-0,965807052466959;0,0908623613215116;0,909137638678489;0,000124751267596708;0,00173120414489065;0,000304197931454066;0,950920956627939;0,000275071182038388
"gold";2,10577319059883;0,0323254909139777;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387583;0,00134889902562709;3,17867784271847e-07;0,000304197931454066;0,942628478707367;0,000270294600143023
