"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"compute";0,717748357623567;0,393563304780576;-0,405545936937377;0,0209475132739563;0,0996215511519833;0,651702707157933;0,636998509021256;0,349285701162396;-0,359920234473352;0,0185908258534969;0,0884136882741291;0,578383284859347;0,532744583173787;0,1390049083393;0,123211863347314;0,000286784104645213;0,00567909922880172;0,199072761806154;0,00388758893921321;0,00116886706149673;0,00124112645363624;3,31131786046556e-06;7,48932232679005e-05;0,0032050512106486;0,00754633226057041;0,444848204323665;0,00149334312423918
"question";1,04767539046343;-0,985165059491986;-2,26122949139655;0,101666464365254;0,114853481063222;-0,19355238728154;0,38930305169604;-0,366074995724479;-0,840244554371341;0,0377779846628189;0,0426781148844659;-0,0719216426363006;0,193419699362334;0,14841969340565;0,65273107516161;0,00115111353268132;0,00128627483776312;0,00299214369996036;0,0113282661537888;0,010016775949759;0,052771475927957;0,00010667567504355;0,000136143930357077;0,000386640214835383;0,0103207191210742;1,07764457353223;0,0119856351013542
"field";0,407566995713186;0,360698834747184;0,245737043521642;0,607383641895657;0,345686855094214;1,40601720292224;0,24262089961665;0,214720712661984;0,1462850112876;0,361569918956011;0,205784218670225;0,836989163100785;0,109422808374107;0,074374768984516;0,0288170079906615;0,15358596232735;0,0435585888742856;0,590240863449082;0,00178812041188361;0,00140051647881852;0,000650039881500327;0,003971228962259;0,00128636577218267;0,0212804110938396;0,0107646210187549;0,557370828998162;0,0033441612893969
"traditional";0,383235187457279;-0,14701000591495;0,557016756165677;0,315409237445547;-0,0761242402437255;-0,202451720904242;0,484753230789273;-0,185952589057512;0,70456910271365;0,398960356137846;-0,0962893612258356;-0,256080675781159;0,309166375556869;0,0394804050458532;0,473146690855797;0,132350569956846;0,00675002950903594;0,0391059290756008;0,00143430145196722;0,000211058803888802;0,00303002493232064;0,000971535108401553;5,65920758890502e-05;0,000400269619148133;0,00976584174897348;0,311794468532385;0,000949394026573137
"discipline";0,254287238805636;-0,196230163620702;0,641795200045094;0,62616278735602;-0,641587148786021;-0,317600586373702;0,213419158657252;-0,164692796303142;0,538648310734068;0,52552828009645;-0,53847369668392;-0,266557025241578;0,0704561360792973;0,0364105745900628;0,325132518318528;0,26999747223363;0,248187116136432;0,049816182642052;0,000552544000232315;0,000329040432562955;0,0035197406578261;0,0033503659297246;0,00351745903346221;0,000861946531994094;0,00854511153035179;0,433375455048005;0,00160489401264355
"define";-0,572830532653749;-0,494420953582743;-0,303234284744956;0,839826609757397;-0,311588325837839;-0,158432746434159;-0,468960938045578;-0,404769126232494;-0,248249746679496;0,687543439563004;-0,255088975254203;-0,129704624927545;0,293570048249202;0,189792686676806;0,0595955484646558;0,398799118337816;0,0480640112807553;0,0101785869907656;0,00287677846100209;0,00214312665275684;0,000806140437702586;0,00618348574210095;0,000851170291762931;0,000220061466681942;0,0087670624791921;0,478265927451023;0,00200536294434429
"computer";-0,593529882686475;0,676701319321583;0,000736512954448576;-0,128483373262376;-0,14730368536414;-0,066231218396104;-0,64271738295298;0,73278147180492;0,000797549866321066;-0,139131153839117;-0,15951115844083;-0,0717199868095223;0,455080840153417;0,513362012929383;5,07647136390067e-07;0,0134776052740677;0,0155106081892446;0,00256842580675131;0,00281478148465332;0,00365892538465798;4,33431316269904e-09;0,000131902603346054;0,000173375102871351;3,50497557315209e-05;0,00799023415825103;0,398013194502987;0,00126576897302075
"medium";0,360445190786067;0,524738211574747;-0,668839573972799;0,0877958035004191;0,0663104016088152;0,0751741915115136;0,386354853358176;0,562457649503558;-0,716917362550629;0,0941067758814965;0,071076951904461;0,0805778922293584;0,184858592384609;0,339995260522053;0,461108239400079;0,00693145146605773;0,00346196535547416;0,00364449087172655;0,00102367908387716;0,00216955538106238;0,00352475781550995;6,0734138383329e-05;3,46456469501818e-05;4,45269441713561e-05;0,00787925868383087;0,379243870451642;0,00113324157613307
"scholarship";0,910747369752289;-0,332203148526061;0,00529610316064693;0,771298034438113;0,304875036619848;-0,429117002647192;0,676609625478882;-0,246799337963786;0,0039345646169667;0,57301035561125;0,226496821397707;-0,31879827940289;0,577569425509316;0,0666871477519832;1,41487803364446e-05;0,261799186686804;0,0358137918195186;0,0581162994520427;0,00625938657892891;0,000832805167968342;2,11664875241214e-07;0,00448931802675736;0,000701422437117838;0,00138959220212428;0,00754633226057041;0,542119443479856;0,00221781793229673
"practice";0,440364503135872;0,247766426525274;0,521931882163974;0,866371521917388;0,0306524485480481;1,49467186653994;0,23493859499306;0,132185713698043;0,278455557167952;0,462217337346258;0,0163533689561566;0,797421467443303;0,10037222615395;0,0275740255055346;0,102144359514014;0,245534647861126;0,000269102369868462;0,524105638595508;0,00157099382759;0,000497318694291045;0,00220687392544708;0,00608076482313061;7,61167461384127e-06;0,018098458680468;0,00810120963267118;0,628788632337919;0,00320301692636661
