"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"115";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"116";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"117";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"118";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"119";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"120";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"121";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"122";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"123";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"124";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"125";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"126";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"127";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"128";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"129";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"130";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"131";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"132";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"133";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"134";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"135";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"136";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"137";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"138";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"139";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"140";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"141";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"142";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"143";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"144";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"145";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"146";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"147";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"148";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"149";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"150";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"151";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"152";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"153";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"154";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"155";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"156";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"157";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"158";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"159";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"160";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"161";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"162";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"163";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"164";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"165";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"166";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"167";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"168";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"169";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"170";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"171";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"172";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"173";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"174";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"175";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"176";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"177";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"178";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;37;37
